bonfire: diy(0.1598), music(0.0813), lifestyle(0.0758)
comics: entertainment(0.3484), art(0.2624), science(0.2330)
himalayan: nature(0.1862), people(0.1464), travel(0.1336)
iceberg: diy(0.0844), people(0.0724), economy(0.0554)
bento: diy(0.0554), lifestyle(0.0550), leisure(0.0137)
sink: economy(0.2291), food(0.1407), people(0.1240)
toy: animals(0.2960), entertainment(0.2850), food(0.2600)
statue: art(0.2537), city(0.2110), animals(0.1360)
cheeseburger: food(0.1035), leisure(0.0583), lifestyle(0.0188)
tractor: transportation(0.1531), animals(0.1236), people(0.0908)
sled: animals(0.1383), travel(0.1224), transportation(0.0832)
aquarium: animals(0.3331), art(0.2624), leisure(0.2180)
circus: entertainment(0.3357), animals(0.2631), art(0.2623)
sitting: people(0.3345), food(0.1858), sports(0.1713)
beard: fashion(0.1538), music(0.1067), sports(0.1004)
bridge: city(0.2832), transportation(0.2550), people(0.1994)
tights: fashion(0.0793), leisure(0.0399), diy(0.0283)
bird: animals(0.4594), nature(0.3016), health(0.2834)
rafting: leisure(0.2807), travel(0.2473), nature(0.1321)
park: nature(0.3691), city(0.3649), leisure(0.2809)
factory: food(0.2939), city(0.2903), technology(0.2756)
graduation: education(0.4068), science(0.2579), music(0.2303)
porcelain: art(0.2998), culture(0.1290), animals(0.1175)
twig: diy(0.1748), art(0.0082), science(-0.0193)
petal: leisure(-0.0362), diy(-0.0467), fashion(-0.0469)
cushion: economy(0.2927), food(0.1167), transportation(0.1051)
sunglasses: fashion(0.2743), lifestyle(0.1424), sports(0.1396)
infrastructure: transportation(0.5785), economy(0.4755), technology(0.4752)
ferris wheel: nature(None), food(None), city(None), animals(None), people(None), travel(None), art(None), sports(None), fashion(None), education(None), leisure(None), lifestyle(None), entertainment(None), transportation(None), news(None), diy(None), culture(None), science(None), technology(None), music(None), health(None), relationships(None), economy(None)
pomacentridae: diy(0.0344), lifestyle(0.0008), animals(-0.0004)
wetsuit: lifestyle(0.0507), diy(0.0381), leisure(0.0124)
shetland sheepdog: nature(None), food(None), city(None), animals(None), people(None), travel(None), art(None), sports(None), fashion(None), education(None), leisure(None), lifestyle(None), entertainment(None), transportation(None), news(None), diy(None), culture(None), science(None), technology(None), music(None), health(None), relationships(None), economy(None)
brig: transportation(0.0661), diy(0.0090), news(0.0044)
watercolor paint: nature(None), food(None), city(None), animals(None), people(None), travel(None), art(None), sports(None), fashion(None), education(None), leisure(None), lifestyle(None), entertainment(None), transportation(None), news(None), diy(None), culture(None), science(None), technology(None), music(None), health(None), relationships(None), economy(None)
competition: music(0.3548), sports(0.3405), technology(0.2891)
cliff: people(0.1236), nature(0.1170), animals(0.1070)
badminton: sports(0.3396), leisure(0.1422), entertainment(0.0844)
safari: leisure(0.2201), travel(0.2106), lifestyle(0.1663)
bicycle: transportation(0.2636), sports(0.2301), travel(0.2265)
stadium: sports(0.4109), city(0.3419), people(0.1900)
boat: travel(0.2690), people(0.2635), food(0.1971)
smile: people(0.1901), nature(0.1837), fashion(0.1739)
surfboard: diy(0.2712), fashion(0.1164), lifestyle(0.0720)
fast food: nature(None), food(None), city(None), animals(None), people(None), travel(None), art(None), sports(None), fashion(None), education(None), leisure(None), lifestyle(None), entertainment(None), transportation(None), news(None), diy(None), culture(None), science(None), technology(None), music(None), health(None), relationships(None), economy(None)
sunset: entertainment(0.2511), leisure(0.1829), lifestyle(0.1793)
hot dog: nature(None), food(None), city(None), animals(None), people(None), travel(None), art(None), sports(None), fashion(None), education(None), leisure(None), lifestyle(None), entertainment(None), transportation(None), news(None), diy(None), culture(None), science(None), technology(None), music(None), health(None), relationships(None), economy(None)
shorts: fashion(0.2143), sports(0.2022), music(0.1785)
bus: transportation(0.4132), city(0.3733), travel(0.3630)
bullfighting: sports(0.1904), culture(0.1772), animals(0.1601)
sky: sports(0.2874), news(0.2856), entertainment(0.2817)
gerbil: diy(0.1043), animals(0.0747), food(0.0149)
rock: music(0.5478), art(0.3090), culture(0.3082)
interaction: relationships(0.5424), nature(0.3694), technology(0.3067)
dress: fashion(0.4851), lifestyle(0.2638), culture(0.2007)
toe: fashion(0.1377), health(0.0927), people(0.0577)
bear: animals(0.4017), nature(0.2674), people(0.2360)
eating: food(0.5674), animals(0.4856), lifestyle(0.3640)
tower: city(0.2851), art(0.1802), entertainment(0.1463)
brick: city(0.2056), art(0.1659), food(0.1106)
junk: food(0.2608), culture(0.2010), art(0.1815)
person: people(0.5712), nature(0.3654), travel(0.3117)
windsurfing: leisure(0.2526), sports(0.2030), lifestyle(0.0830)
swimwear: fashion(0.3703), lifestyle(0.1800), diy(0.1627)
roller: sports(0.2437), entertainment(0.1439), city(0.1362)
camping: travel(0.3426), leisure(0.3293), food(0.2392)
playground: sports(0.2659), leisure(0.2580), nature(0.2352)
